State,Urban_Index,Urban_Scale
AL,9.606,Very Rural
AK,8.736,Very Rural
AZ,11.3,Very Urban
AR,9.259,Very Rural
CA,12.19,Very Urban
CO,11.154,Urban
CT,11.41,Very Urban
DE,11.01,Urban
DC,13.441,Very Urban
FL,11.465,Very Urban
GA,10.552,Urban
HI,11.086,Urban
ID,9.594,Very Rural
IL,11.624,Very Urban
IN,10.41,Rural
IA,9.594,Very Rural
KS,10.12,Rural
KY,9.79,Rural
LA,10.175,Rural
ME,9.037,Very Rural
MD,11.711,Very Urban
MA,11.84,Very Urban
MI,10.806,Urban
MN,10.457,Urban
MS,8.911,Very Rural
MO,10.202,Rural
MT,8.47,Very Rural
NE,10.199,Rural
NV,11.77,Very Urban
NH,9.917,Rural
NJ,12.236,Very Urban
NM,9.897,Rural
NY,12.559,Very Urban
NC,10.325,Rural
ND,9.055,Very Rural
OH,10.877,Urban
OK,9.939,Rural
OR,10.712,Urban
PA,11.146,Urban
RI,11.721,Very Urban
SC,10.111,Rural
SD,8.729,Very Rural
TN,10.197,Rural
TX,11.175,Very Urban
UT,10.963,Urban
VT,8.843,Very Rural
VA,10.906,Urban
WA,11.119,Urban
WV,9.111,Very Rural
WI,10.191,Rural
WY,8.256,Very Rural
