State,Population
AL,4844999
AK,732859
AZ,6798170
AR,2973257
CA,38616261
CO,5398371
CT,3583745
DE,936085
DC,663509
FL,20085656
GA,10140181
HI,1407807
ID,1655651
IL,12827976
IN,6602653
IA,3109321
KS,2896370
KY,4416632
LA,4632317
ME,1331830
MD,5949731
MA,6757651
MI,9932377
MN,5469648
MS,2984075
MO,6064393
MT,1027487
NE,1883663
NV,2857478
NH,1335920
NJ,8859185
NM,2087817
NY,19569106
NC,10001351
ND,731048
OH,11608363
OK,3876461
OR,4009681
PA,12775880
RI,1055939
SC,4867305
SD,851554
TN,6575642
TX,27153209
UT,2972612
VT,625201
VA,8314241
WA,7141851
WV,1836983
WI,5755374
WY,578217
